,Valor,IPTU_Condicao,Caracteristicas,Tipo,Endereco
39,R$ 740.000,R$ 1.717 Condo. + IPTU,106 m² · 3 quartos · 1 vaga,Apartamento,"Rua Donato da Fonseca, Coracao de Jesus · Belo Horizonte"
40,R$ 300.000,R$ 625 Condo. + IPTU,80 m² · 4 quartos · 1 vaga,Apartamento,"Rua São Claret, Silveira · Belo Horizonte"
41,R$ 370.000,R$ 455 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Cacuí, Nova Suíça · Belo Horizonte"
42,R$ 198.000,R$ 251 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Antônio Campos, Nova Gameleira · Belo Horizonte"
43,R$ 290.000,R$ 344 Condo. + IPTU,68 m² · 2 quartos · 1 vaga,Apartamento,"Rua Geraldo Menezes Soares, Graça · Belo Horizonte"
44,R$ 250.000,R$ 490 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua José Cleto, Santa Cruz · Belo Horizonte"
45,R$ 420.000,R$ 545 Condo. + IPTU,67 m² · 3 quartos · 1 vaga,Apartamento,"Rua Centralina, Santa Ines · Belo Horizonte"
46,R$ 160.000,R$ 0 Condo. + IPTU,2000 m² · 3 quartos · 1 vaga,Casa,"R. Oitocentos E Setenta E Um, Zilah Sposito · Belo Horizonte"
47,R$ 600.000,R$ 1.101 Condo. + IPTU,110 m² · 3 quartos · 2 vagas,Apartamento,"Rua Guilherme de Almeida, Santo Antônio · Belo Horizonte"
48,R$ 285.000,R$ 275 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua das Canoas, Estrela do Oriente · Belo Horizonte"
49,R$ 320.000,R$ 507 Condo. + IPTU,112 m² · 3 quartos · 1 vaga,Apartamento,"Rua Junquilhos, Nova Suíça · Belo Horizonte"
50,R$ 360.000,R$ 117 Condo. + IPTU,90 m² · 3 quartos · 1 vaga,Casa,"Rua Lírio Montanhês, Havaí · Belo Horizonte"
51,R$ 200.000,R$ 200 Condo. + IPTU,52 m² · 2 quartos · 1 vaga,Apartamento,"Rua Sócrates Alvim, Camargos · Belo Horizonte"
52,R$ 490.000,R$ 334 Condo. + IPTU,122 m² · 2 quartos · 2 vagas,Apartamento,"Rua Professor Nardelli Benfica, Fernão Dias · Belo Horizonte"
53,R$ 180.000,R$ 205 Condo. + IPTU,56 m² · 2 quartos · 1 vaga,Apartamento,"Rua Henrique Diniz, Nova Cachoeirinha · Belo Horizonte"
54,R$ 400.000,R$ 550 Condo. + IPTU,68 m² · 3 quartos · 2 vagas,Apartamento,"Rua Juruá, Graça · Belo Horizonte"
55,R$ 190.000,R$ 340 Condo. + IPTU,44 m² · 2 quartos · 1 vaga,Apartamento,"Beco Padre Argemiro Moreira, São Gabriel · Belo Horizonte"
56,R$ 660.000,R$ 559 Condo. + IPTU,89 m² · 3 quartos · 2 vagas,Apartamento,"Rua Pouso Alegre, Colégio Batista · Belo Horizonte"
57,R$ 390.000,R$ 672 Condo. + IPTU,50 m² · 1 quarto · 2 vagas,Apartamento,"Avenida Raja Gabáglia, Luxemburgo · Belo Horizonte"
58,R$ 155.000,R$ 190 Condo. + IPTU,49 m² · 2 quartos · 1 vaga,Apartamento,"Rua Fued Mansur Kfuri, Dom Silverio · Belo Horizonte"
59,R$ 480.000,R$ 291 Condo. + IPTU,200 m² · 3 quartos · 1 vaga,Apartamento,"Rua Cubatão, Renascença · Belo Horizonte"
60,R$ 425.000,R$ 451 Condo. + IPTU,74 m² · 3 quartos · 1 vaga,Apartamento,"Rua Jundiaí, Concórdia · Belo Horizonte"
61,R$ 170.000,R$ 123 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Tancredo Esteves, São Tomaz · Belo Horizonte"
62,R$ 380.000,R$ 375 Condo. + IPTU,140 m² · 2 quartos · 2 vagas,Apartamento,"Rua Antonia Felicia dos Reis, Alto Caiçaras · Belo Horizonte"
63,R$ 670.000,R$ 1.148 Condo. + IPTU,219 m² · 4 quartos · 3 vagas,Apartamento,"Rua Waldir Leite Pena, Silveira · Belo Horizonte"
64,R$ 339.000,R$ 1.317 Condo. + IPTU,27 m² · 1 quarto · 1 vaga,Studio e kitnet,"Avenida do Contorno, Lourdes · Belo Horizonte"
65,R$ 200.000,R$ 200 Condo. + IPTU,60 m² · 2 quartos,Apartamento,"R. Afonso Silviano Brandão 317 - Jardim Vitória Belo Horizonte - Mg 31170-760 Brasil, Jd Vitoria · Belo Horizonte"
