,Valor,IPTU_Condicao,Caracteristicas,Tipo,Endereco
166,R$ 440.000,R$ 730 Condo. + IPTU,105 m² · 3 quartos · 1 vaga,Apartamento,"Rua Deputado Álvaro Sáles, Santo Antônio · Belo Horizonte"
167,R$ 249.000,R$ 479 Condo. + IPTU,52 m² · 2 quartos · 1 vaga,Apartamento,"Rua Gentil Portugal do Brasil 55 - Camargos Belo Horizonte - Mg 30520-540 Brasil, Camargos · Belo Horizonte"
168,R$ 200.000,R$ 427 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"Rua Patrício Barbosa, Califórnia · Belo Horizonte"
169,R$ 550.000,R$ 525 Condo. + IPTU,98 m² · 3 quartos · 2 vagas,Apartamento,"Rua São Bento, Sagrada Família · Belo Horizonte"
170,R$ 399.000,R$ 642 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Dom José Gaspar, Coração Eucarístico · Belo Horizonte"
171,R$ 380.000,R$ 509 Condo. + IPTU,47 m² · 2 quartos · 1 vaga,Apartamento,"Rua Antônio de Andrade Mendes, Palmeiras · Belo Horizonte"
172,R$ 790.000,R$ 797 Condo. + IPTU,200 m² · 4 quartos · 2 vagas,Apartamento,"Rua Gama Cerqueira, Nova Suíça · Belo Horizonte"
173,R$ 270.000,R$ 525 Condo. + IPTU,47 m² · 2 quartos · 1 vaga,Apartamento,"Rua Gentil Portugal do Brasil, Camargos · Belo Horizonte"
174,R$ 550.000,R$ 577 Condo. + IPTU,140 m² · 3 quartos · 3 vagas,Apartamento,"Rua Eugênio Vidigal Amaro, Estoril · Belo Horizonte"
175,R$ 550.000,R$ 500 Condo. + IPTU,140 m² · 3 quartos · 2 vagas,Apartamento,"Rua Cesário Alvim, Padre Eustáquio · Belo Horizonte"
176,R$ 290.000,R$ 73 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Tenente Geraldo Barbosa, Manacás · Belo Horizonte"
177,R$ 320.000,R$ 435 Condo. + IPTU,74 m² · 2 quartos · 1 vaga,Apartamento,"Rua Júlio de Castilho, Cinquentenario · Belo Horizonte"
178,R$ 350.000,R$ 390 Condo. + IPTU,72 m² · 2 quartos · 1 vaga,Apartamento,"Rua Monte Branco, Nova Suíça · Belo Horizonte"
179,R$ 435.000,R$ 435.200 Condo. + IPTU,85 m² · 3 quartos · 1 vaga,Apartamento,"Rua Ataláia, Alto Caiçaras · Belo Horizonte"
180,R$ 500.000,R$ 250 Condo. + IPTU,49 m² · 2 quartos · 1 vaga,Apartamento,"Rua Oliver, União · Belo Horizonte"
181,R$ 398.000,R$ 510 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Clóvis Magalhães Pinto, Cidade Nova · Belo Horizonte"
182,R$ 280.000,R$ 387 Condo. + IPTU,52 m² · 2 quartos · 1 vaga,Apartamento,"Rua Paulista, Fernão Dias · Belo Horizonte"
183,R$ 280.000,R$ 396 Condo. + IPTU,72 m² · 3 quartos · 1 vaga,Apartamento,"Rua Desembargador Tinoco, Monsenhor Messias · Belo Horizonte"
184,R$ 295.000,R$ 0 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Casa em condomínio,"Rua Blumenau, Copacabana · Belo Horizonte"
185,R$ 490.000,R$ 588 Condo. + IPTU,111 m² · 3 quartos · 1 vaga,Apartamento,"Rua Doutor Juvenal dos Santos, Luxemburgo · Belo Horizonte"
186,R$ 250.000,R$ 180 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Avenida Henfil, Serrano · Belo Horizonte"
187,R$ 298.000,R$ 350 Condo. + IPTU,80 m² · 3 quartos · 1 vaga,Apartamento,"Rua Virgolândia, Nova Suíça · Belo Horizonte"
188,R$ 850.000,R$ 815 Condo. + IPTU,69 m² · 2 quartos · 2 vagas,Apartamento,"Rua Flavita Bretas, Luxemburgo · Belo Horizonte"
189,R$ 350.000,R$ 444 Condo. + IPTU,88 m² · 2 quartos · 1 vaga,Apartamento,"Rua Maria Martins Guimarães, Sagrada Família · Belo Horizonte"
190,R$ 820.000,R$ 142 Condo. + IPTU,160 m² · 4 quartos · 5 vagas,Casa,"Rua Maria Vitória, Nova Vista · Belo Horizonte"
191,R$ 295.000,R$ 389 Condo. + IPTU,85 m² · 3 quartos · 1 vaga,Apartamento,"Rua Dom Cabral, Ipiranga · Belo Horizonte"
192,R$ 820.000,R$ 142 Condo. + IPTU,160 m² · 4 quartos · 5 vagas,Casa,"Rua Maria Vitória, Nova Vista · Belo Horizonte"
193,R$ 295.000,R$ 389 Condo. + IPTU,85 m² · 3 quartos · 1 vaga,Apartamento,"Rua Dom Cabral, Ipiranga · Belo Horizonte"
194,R$ 530.000,R$ 0 Condo. + IPTU,360 m² · 3 quartos · 4 vagas,Casa,"Rua Ocara, Santa Maria · Belo Horizonte"
195,R$ 455.000,R$ 400 Condo. + IPTU,140 m² · 3 quartos · 1 vaga,Apartamento,"Rua Gávea, Jardim America · Belo Horizonte"
196,R$ 485.000,R$ 79 Condo. + IPTU,170 m² · 4 quartos · 2 vagas,Casa,"Rua Petrópolis, São Cristóvão · Belo Horizonte"
197,R$ 650.000,R$ 870 Condo. + IPTU,120 m² · 2 quartos · 1 vaga,Apartamento,"Rua Guilherme de Almeida, Santo Antônio · Belo Horizonte"
198,R$ 275.000,R$ 350 Condo. + IPTU,60 m² · 2 quartos,Apartamento,"Rua Herval, Serra · Belo Horizonte"
199,R$ 500.000,R$ 350 Condo. + IPTU,500 m² · 2 quartos · 3 vagas,Casa,"Rua Estoril, São Francisco · Belo Horizonte"
200,R$ 570.000,R$ 644 Condo. + IPTU,102 m² · 3 quartos · 1 vaga,Apartamento,"Rua Bernardino de Lima, Gutierrez · Belo Horizonte"
201,R$ 320.000,R$ 597 Condo. + IPTU,70 m² · 2 quartos,Apartamento,"Rua dos Tupis, Centro · Belo Horizonte"
202,R$ 830.000,R$ 1.010 Condo. + IPTU,97 m² · 3 quartos · 2 vagas,Apartamento,"Avenida Aggeo Pio Sobrinho, Buritis · Belo Horizonte"
203,R$ 399.900,R$ 590 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Avenida José Cândido da Silveira, Cidade Nova · Belo Horizonte"
204,R$ 300.000,R$ 100 Condo. + IPTU,64 m² · 2 quartos · 1 vaga,Casa,"Rua Póvoa de Varzim, Paquetá · Belo Horizonte"
205,R$ 495.000,R$ 587 Condo. + IPTU,136 m² · 3 quartos · 2 vagas,Apartamento,"Rua Bento Mendes Castanheira, Dona Clara · Belo Horizonte"
206,R$ 495.000,R$ 508 Condo. + IPTU,70 m² · 2 quartos · 2 vagas,Apartamento,"Rua Conselheiro Lafaiete, Sagrada Família · Belo Horizonte"
207,R$ 293.000,R$ 497 Condo. + IPTU,84 m² · 3 quartos · 1 vaga,Apartamento,"Rua Áustria, Havaí · Belo Horizonte"
208,R$ 550.000,R$ 978 Condo. + IPTU,120 m² · 3 quartos · 2 vagas,Apartamento,"Rua Senador Pompéu, Serra · Belo Horizonte"
209,R$ 398.000,R$ 617 Condo. + IPTU,90 m² · 3 quartos · 1 vaga,Apartamento,"Rua Brás Cubas, Cruzeiro · Belo Horizonte"
210,R$ 550.000,R$ 550 Condo. + IPTU,55 m² · 2 quartos · 2 vagas,Apartamento,"Rua Sílvio Menicucci, Buritis · Belo Horizonte"
211,R$ 750.000,R$ 850 Condo. + IPTU,75 m² · 3 quartos · 2 vagas,Apartamento,"Rua Coronel Fulgêncio, São Lucas · Belo Horizonte"
212,R$ 355.000,R$ 0 Condo. + IPTU,110 m² · 2 quartos · 2 vagas,Apartamento,"Rua Osmário Soares, Dom Bosco · Belo Horizonte"
213,R$ 450.000,R$ 403 Condo. + IPTU,120 m² · 3 quartos · 1 vaga,Apartamento,"Rua Dr Teles, Liberdade · Belo Horizonte"
214,R$ 742.000,R$ 658 Condo. + IPTU,65 m² · 2 quartos · 2 vagas,Apartamento,"Rua Carlos Gomes, Santo Antônio · Belo Horizonte"
215,R$ 260.000,R$ 325 Condo. + IPTU,45 m² · 2 quartos · 1 vaga,Apartamento,"Rua Francisco Bicalho, Monsenhor Messias · Belo Horizonte"
216,R$ 260.000,R$ 325 Condo. + IPTU,45 m² · 2 quartos · 1 vaga,Apartamento,"Rua Francisco Bicalho, Monsenhor Messias · Belo Horizonte"
217,R$ 270.000,R$ 240 Condo. + IPTU,75 m² · 2 quartos · 1 vaga,Apartamento,"Rua Santa Alexandrina, Milionários · Belo Horizonte"
218,R$ 550.000,R$ 501 Condo. + IPTU,95 m² · 3 quartos · 1 vaga,Apartamento,"Rua Romano Stochiero, Santa Efigênia · Belo Horizonte"
219,R$ 1.350.000,R$ 1.641 Condo. + IPTU,150 m² · 4 quartos · 3 vagas,Apartamento,"Rua Crisandália, Alto Caiçaras · Belo Horizonte"
220,R$ 350.000,R$ 0 Condo. + IPTU,280 m² · 4 quartos · 2 vagas,Casa,"Rua Itanhaém, Piratininga (venda Nova) · Belo Horizonte"
221,R$ 540.000,R$ 300 Condo. + IPTU,78 m² · 3 quartos · 2 vagas,Apartamento,"Rua Jornalista Lena Santos, Fernão Dias · Belo Horizonte"
222,R$ 550.000,R$ 300 Condo. + IPTU,140 m² · 3 quartos · 1 vaga,Apartamento,"Rua Etelvina Vaz de Melo, Dona Clara · Belo Horizonte"
223,R$ 480.000,R$ 752 Condo. + IPTU,70 m² · 3 quartos · 2 vagas,Apartamento,"Rua Ernani Agrícola, Buritis · Belo Horizonte"
224,R$ 495.000,R$ 565 Condo. + IPTU,80 m² · 2 quartos · 1 vaga,Apartamento,"Rua Nunes Viêira, Santo Antônio · Belo Horizonte"
225,R$ 395.000,R$ 420 Condo. + IPTU,120 m² · 3 quartos · 1 vaga,Apartamento,"Rua Engenheiro Zoroastro Tôrres, Santo Antônio · Belo Horizonte"
226,R$ 360.000,R$ 675 Condo. + IPTU,90 m² · 3 quartos · 1 vaga,Apartamento,"Rua Gentil Portugal do Brasil, Camargos · Belo Horizonte"
227,R$ 350.000,R$ 390 Condo. + IPTU,68 m² · 3 quartos · 1 vaga,Apartamento,"Rua Jacuí, Floresta · Belo Horizonte"
228,R$ 925.000,R$ 1.384 Condo. + IPTU,110 m² · 4 quartos · 2 vagas,Apartamento,"Rua Engenheiro Alberto Pontes, Buritis · Belo Horizonte"
229,R$ 610.000,R$ 636 Condo. + IPTU,75 m² · 2 quartos · 2 vagas,Apartamento,"Rua Aníbal Benévolo, Santa Efigênia · Belo Horizonte"
230,R$ 530.000,R$ 680 Condo. + IPTU,79 m² · 3 quartos · 2 vagas,Apartamento,"Rua Anita Garibaldi, Grajaú · Belo Horizonte"
231,R$ 360.000,R$ 560 Condo. + IPTU,114 m² · 3 quartos,Apartamento,"Rua dos Guaranis, Centro · Belo Horizonte"
232,R$ 355.000,R$ 347 Condo. + IPTU,60 m² · 1 quarto · 1 vaga,Apartamento,"Rua Sapucaí, Floresta · Belo Horizonte"
233,R$ 220.000,R$ 0 Condo. + IPTU,180 m² · 3 quartos,Casa,"Rua Zilah Rodrigues, Havaí · Belo Horizonte"
234,R$ 460.000,R$ 444 Condo. + IPTU,95 m² · 3 quartos · 1 vaga,Apartamento,"Rua Gama Cerqueira, Nova Suíssa · Belo Horizonte"
235,R$ 710.000,R$ 608 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Abre Campo, Santo Antônio · Belo Horizonte"
236,R$ 720.000,R$ 1.513 Condo. + IPTU,100 m² · 3 quartos · 2 vagas,Apartamento,"Rua Joanésia, Serra · Belo Horizonte"
237,R$ 390.000,R$ 595 Condo. + IPTU,55 m² · 2 quartos · 2 vagas,Apartamento,"Rua Maria Clara Tavares, Castelo · Belo Horizonte"
238,R$ 550.000,R$ 705 Condo. + IPTU,125 m² · 3 quartos · 1 vaga,Apartamento,"Rua Professor Magalhães Drumond, Santo Antônio · Belo Horizonte"
239,R$ 270.000,R$ 217 Condo. + IPTU,80 m² · 2 quartos · 1 vaga,Apartamento,"Rua Ramos de Azevedo, Monsenhor Messias · Belo Horizonte"
240,R$ 360.000,R$ 475 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Canápolis, Serra · Belo Horizonte"
241,R$ 650.000,R$ 785 Condo. + IPTU,120 m² · 3 quartos · 2 vagas,Apartamento,"Rua Aiuruoca, Fernão Dias · Belo Horizonte"
242,R$ 1.211.000,R$ 750 Condo. + IPTU,77 m² · 2 quartos · 2 vagas,Apartamento,"Rua Alagoas, Funcionários · Belo Horizonte"
243,R$ 345.000,R$ 328 Condo. + IPTU,102 m² · 1 quarto · 1 vaga,Apartamento,"Rua Antônio de Andrade Mendes, Palmeiras · Belo Horizonte"
244,R$ 490.000,R$ 701 Condo. + IPTU,123 m² · 2 quartos · 2 vagas,Apartamento,"Rua Curitibanos, Jardim America · Belo Horizonte"
245,R$ 420.000,R$ 588 Condo. + IPTU,58 m² · 2 quartos · 1 vaga,Apartamento,"Rua Shirley Regina das Chagas, Serrano · Belo Horizonte"
246,R$ 650.000,R$ 524 Condo. + IPTU,75 m² · 3 quartos · 2 vagas,Apartamento,"Rua Dona Nancy de Vasconcelos Gomes, Sagrada Família · Belo Horizonte"
247,R$ 360.000,R$ 264 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"Rua Santo Amaro, Sagrada Família · Belo Horizonte"
248,R$ 1.600.000,R$ 1.190 Condo. + IPTU,128 m² · 3 quartos · 2 vagas,Apartamento,"Rua da Groenlândia, Sion · Belo Horizonte"
249,R$ 300.000,R$ 250 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Santo Agostinho, Sagrada Família · Belo Horizonte"
250,R$ 426.000,R$ 34 Condo. + IPTU,72 m² · 2 quartos · 1 vaga,Casa,"Rua Itaobim, Santa Ines · Belo Horizonte"
251,R$ 600.000,R$ 490 Condo. + IPTU,130 m² · 3 quartos · 2 vagas,Apartamento,"Rua Iracy Manata, Buritis · Belo Horizonte"
252,R$ 320.000,R$ 410 Condo. + IPTU,67 m² · 3 quartos · 1 vaga,Apartamento,"Rua Carlos Turner, Silveira · Belo Horizonte"
253,R$ 940.000,R$ 1.732 Condo. + IPTU,132 m² · 3 quartos · 2 vagas,Apartamento,"Avenida Afonso Pena, Centro · Belo Horizonte"
254,R$ 590.000,R$ 300 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Dom João Antônio dos Santos, Coração Eucarístico · Belo Horizonte"
255,R$ 399.000,R$ 733 Condo. + IPTU,80 m² · 3 quartos · 1 vaga,Apartamento,"Rua Padre Eustáquio, Carlos Prates · Belo Horizonte"
256,R$ 530.000,R$ 498 Condo. + IPTU,76 m² · 2 quartos · 2 vagas,Apartamento,"Rua Castelo de Rodrigo, Castelo · Belo Horizonte"
257,R$ 235.000,R$ 364 Condo. + IPTU,88 m² · 2 quartos · 1 vaga,Apartamento,"Rua Ephigênio Salles Víctor, Madre Gertrudes · Belo Horizonte"
258,R$ 690.000,R$ 982 Condo. + IPTU,180 m² · 4 quartos · 3 vagas,Apartamento,"Rua Alto da Mata, Sagrada Família · Belo Horizonte"
259,R$ 280.000,R$ 444 Condo. + IPTU,49 m² · 2 quartos · 1 vaga,Apartamento,"Rua Gentil Portugal do Brasil, Camargos · Belo Horizonte"
260,R$ 750.000,R$ 939 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Avenida Professor Mário Werneck, Buritis · Belo Horizonte"
261,R$ 580.000,R$ 520 Condo. + IPTU,82 m² · 3 quartos · 2 vagas,Apartamento,"Rua Carmésia, Santa Inês · Belo Horizonte"
262,R$ 425.000,R$ 559 Condo. + IPTU,110 m² · 3 quartos · 1 vaga,Apartamento,"Rua Visconde do Rio das Velhas, Vila Paris · Belo Horizonte"
263,R$ 260.000,R$ 0 Condo. + IPTU,63 m² · 3 quartos · 1 vaga,Apartamento,"Avenida Saramenha, Guarani · Belo Horizonte"
264,R$ 650.000,R$ 836 Condo. + IPTU,110 m² · 3 quartos · 2 vagas,Apartamento,"Rua Rio Negro, Grajaú · Belo Horizonte"
265,R$ 450.000,R$ 100 Condo. + IPTU,360 m² · 3 quartos · 2 vagas,Casa,"Rua Avelino Giarola, Céu Azul · Belo Horizonte"
266,R$ 545.000,R$ 624 Condo. + IPTU,87 m² · 3 quartos · 2 vagas,Apartamento,"Rua João Chagas, União · Belo Horizonte"
267,R$ 550.000,R$ 560 Condo. + IPTU,95 m² · 3 quartos · 2 vagas,Apartamento,"Rua Jornalista Juracy Manoel, Silveira · Belo Horizonte"
268,R$ 670.000,R$ 560 Condo. + IPTU,80 m² · 3 quartos · 2 vagas,Apartamento,"Rua Cardeal Stepinac, Cidade Nova · Belo Horizonte"
269,R$ 265.000,R$ 480 Condo. + IPTU,62 m² · 3 quartos · 1 vaga,Apartamento,"Avenida Saramenha, Guarani · Belo Horizonte"
270,R$ 700.000,R$ 300 Condo. + IPTU,260 m² · 4 quartos · 3 vagas,Apartamento,"Rua Cônsul Walter, Buritis · Belo Horizonte"
271,R$ 530.000,R$ 1.049 Condo. + IPTU,67 m² · 2 quartos · 2 vagas,Apartamento,"Rua Maura, União · Belo Horizonte"
272,R$ 400.000,R$ 518 Condo. + IPTU,106 m² · 3 quartos · 1 vaga,Apartamento,"Rua Indiana, Jardim America · Belo Horizonte"
273,R$ 580.000,R$ 117 Condo. + IPTU,187 m² · 4 quartos · 2 vagas,Casa,"Rua Vinte E Oito de Setembro, Esplanada · Belo Horizonte"
274,R$ 595.000,R$ 690 Condo. + IPTU,43 m² · 1 quarto · 1 vaga,Apartamento,"Rua Pium-í, Sion · Belo Horizonte"
275,R$ 240.000,R$ 340 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Patrício Barbosa, Califórnia · Belo Horizonte"
276,R$ 290.000,R$ 274 Condo. + IPTU,62 m² · 3 quartos · 2 vagas,Apartamento,"Avenida Saramenha, Aarão Reis · Belo Horizonte"
277,R$ 722.000,R$ 972 Condo. + IPTU,120 m² · 3 quartos · 2 vagas,Apartamento,"Rua Capelinha, Serra · Belo Horizonte"
278,R$ 230.000,R$ 100 Condo. + IPTU,55 m² · 3 quartos · 1 vaga,Apartamento,"Rua Capanema, Coqueiros · Belo Horizonte"
279,R$ 250.000,R$ 265 Condo. + IPTU,75 m² · 2 quartos · 1 vaga,Apartamento,"Rua São Carlos, Madre Gertrudes · Belo Horizonte"
280,R$ 290.000,R$ 269 Condo. + IPTU,120 m² · 2 quartos · 1 vaga,Apartamento,"Rua Jequeri, Lagoinha · Belo Horizonte"
281,R$ 520.000,R$ 259 Condo. + IPTU,190 m² · 3 quartos · 1 vaga,Apartamento,"Rua Maria Cecília, Santa Terezinha · Belo Horizonte"
282,R$ 320.000,R$ 385 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Pedro José Moreira, São Lucas · Belo Horizonte"
283,R$ 520.000,R$ 760 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Nunes Viêira, Santo Antônio · Belo Horizonte"
284,R$ 670.000,R$ 1.045 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Líbero Leone, Buritis · Belo Horizonte"
285,R$ 330.000,R$ 448 Condo. + IPTU,67 m² · 2 quartos · 1 vaga,Apartamento,"Rua Maura, Ipiranga · Belo Horizonte"
286,R$ 240.000,R$ 255 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"Rua Campo Grande, Milionários · Belo Horizonte"
287,R$ 720.000,R$ 881 Condo. + IPTU,105 m² · 3 quartos · 1 vaga,Apartamento,"Rua Francisco Deslandes, Anchieta · Belo Horizonte"
288,R$ 720.000,R$ 881 Condo. + IPTU,105 m² · 3 quartos · 1 vaga,Apartamento,"Rua Francisco Deslandes, Anchieta · Belo Horizonte"
289,R$ 205.000,R$ 270 Condo. + IPTU,72 m² · 2 quartos · 1 vaga,Apartamento,"Rua Nilópolis, Olhos D’água · Belo Horizonte"
290,R$ 240.000,R$ 386 Condo. + IPTU,51 m² · 2 quartos · 1 vaga,Apartamento,"Rua das Ostras, Santa Maria · Belo Horizonte"
291,R$ 550.000,R$ 811 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua Jornalista Juracy Manoel, Silveira · Belo Horizonte"
292,R$ 460.000,R$ 328 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Senador Virgílio Távora, Santa Terezinha · Belo Horizonte"
293,R$ 245.000,R$ 525 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Corretor Juventino de Jesus, Candelária · Belo Horizonte"
294,R$ 629.000,R$ 679 Condo. + IPTU,76 m² · 3 quartos · 2 vagas,Apartamento,"Rua Maria Pereira de Araújo, Castelo · Belo Horizonte"
295,R$ 695.000,R$ 310 Condo. + IPTU,92 m² · 3 quartos · 2 vagas,Apartamento,"Rua Juacema, Graça · Belo Horizonte"
296,R$ 420.000,R$ 512 Condo. + IPTU,96 m² · 3 quartos · 1 vaga,Apartamento,"Rua Blenda, Camargos · Belo Horizonte"
297,R$ 530.000,R$ 1.048 Condo. + IPTU,68 m² · 2 quartos · 2 vagas,Apartamento,"Rua Maura, União · Belo Horizonte"
298,R$ 650.000,R$ 211 Condo. + IPTU,300 m² · 3 quartos · 7 vagas,Casa,"Rua Johnson, União · Belo Horizonte"
299,R$ 390.000,R$ 563 Condo. + IPTU,95 m² · 3 quartos · 1 vaga,Apartamento,"Rua Armindo Chaves, Alto Barroca · Belo Horizonte"
300,R$ 365.000,R$ 369 Condo. + IPTU,106 m² · 3 quartos · 1 vaga,Apartamento,"Rua Emídio Germano, Boa Vista · Belo Horizonte"
301,R$ 500.000,R$ 0 Condo. + IPTU,95 m² · 3 quartos · 1 vaga,Apartamento,"Rua Barão de Saramenha, Santa Tereza · Belo Horizonte"
302,R$ 536.000,R$ 318 Condo. + IPTU,360 m² · 3 quartos · 1 vaga,Casa,"Rua Abaeté, Bonfim · Belo Horizonte"
303,R$ 510.000,R$ 800 Condo. + IPTU,110 m² · 3 quartos · 1 vaga,Apartamento,"Avenida do Contorno, Santo Agostinho · Belo Horizonte"
304,R$ 695.000,R$ 400 Condo. + IPTU,92 m² · 3 quartos · 2 vagas,Apartamento,"Rua Professor Domício Murta, Ouro Preto · Belo Horizonte"
305,R$ 235.000,R$ 0 Condo. + IPTU,90 m² · 2 quartos,Casa,"Rua Beco Almirante, Vila Nova Gameleira Ii · Belo Horizonte"
306,R$ 250.000,R$ 0 Condo. + IPTU,60 m² · 1 quarto · 1 vaga,Studio e kitnet,"Rua Peônia, Havaí · Belo Horizonte"
307,R$ 480.000,R$ 537 Condo. + IPTU,110 m² · 3 quartos · 1 vaga,Apartamento,"Avenida José Cândido da Silveira, Cidade Nova · Belo Horizonte"
308,R$ 350.000,R$ 692 Condo. + IPTU,110 m² · 3 quartos · 1 vaga,Apartamento,"Rua Dom Oscar Romero, Nova Gameleira · Belo Horizonte"
309,R$ 579.000,R$ 431 Condo. + IPTU,120 m² · 3 quartos · 1 vaga,Apartamento,"Rua Mucuri, Floresta · Belo Horizonte"
310,R$ 220.000,R$ 286 Condo. + IPTU,54 m² · 3 quartos · 1 vaga,Apartamento,"Rua José Cláudio Sanches, Califórnia · Belo Horizonte"
311,R$ 460.000,R$ 651 Condo. + IPTU,80 m² · 3 quartos · 1 vaga,Apartamento,"Rua São Joaquim, Sagrada Família · Belo Horizonte"
312,R$ 480.000,R$ 525 Condo. + IPTU,134 m² · 3 quartos · 2 vagas,Apartamento,"Rua Arlindo dos Santos, Palmares · Belo Horizonte"
313,R$ 315.000,R$ 35 Condo. + IPTU,180 m² · 2 quartos · 1 vaga,Casa,"Rua Coronel Eugenio Thibal, São Gabriel · Belo Horizonte"
314,R$ 550.000,R$ 700 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua Ulisses Marcondes Escobar, Buritis · Belo Horizonte"
315,R$ 290.000,R$ 250 Condo. + IPTU,72 m² · 3 quartos · 1 vaga,Apartamento,"Rua Belfort Roxo, Nova Granada · Belo Horizonte"
316,R$ 255.000,R$ 481 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Avenida Martinica, Santa Branca · Belo Horizonte"
317,R$ 875.000,R$ 822 Condo. + IPTU,135 m² · 3 quartos · 1 vaga,Apartamento,"Rua Sergipe, Centro · Belo Horizonte"
318,R$ 500.000,R$ 665 Condo. + IPTU,95 m² · 3 quartos · 3 vagas,Apartamento,"Rua Tabelião Ferreira de Carvalho, Cidade Nova · Belo Horizonte"
319,R$ 380.000,R$ 59 Condo. + IPTU,96 m² · 2 quartos · 1 vaga,Casa,"Rua Mercedes Luísa Miranda, Maria Goretti · Belo Horizonte"
320,R$ 770.000,R$ 930 Condo. + IPTU,90 m² · 3 quartos · 3 vagas,Apartamento,"Rua Conselheiro Lafaiete, Sagrada Família · Belo Horizonte"
321,R$ 315.000,R$ 503 Condo. + IPTU,55 m² · 1 quarto · 1 vaga,Apartamento,"Rua Belém, Esplanada · Belo Horizonte"
322,R$ 700.000,R$ 280 Condo. + IPTU,180 m² · 3 quartos · 2 vagas,Apartamento,"Rua Monte Simplon, Nova Suíça · Belo Horizonte"
323,R$ 750.000,R$ 1.067 Condo. + IPTU,69 m² · 2 quartos · 2 vagas,Apartamento,"Rua Herval, Serra · Belo Horizonte"
324,R$ 315.000,R$ 543 Condo. + IPTU,58 m² · 2 quartos · 1 vaga,Apartamento,"Rua Francisco Augusto Rocha, Planalto · Belo Horizonte"
325,R$ 400.000,R$ 503 Condo. + IPTU,105 m² · 3 quartos · 1 vaga,Apartamento,"Rua Camapuan, Alto Barroca · Belo Horizonte"
326,R$ 740.000,R$ 625 Condo. + IPTU,130 m² · 3 quartos · 2 vagas,Apartamento,"Rua Agnelo Macedo, Barreiro · Belo Horizonte"
327,R$ 850.000,R$ 1.003 Condo. + IPTU,150 m² · 4 quartos · 2 vagas,Apartamento,"Rua São Gonçalo, Nova Floresta · Belo Horizonte"
328,R$ 200.000,R$ 260 Condo. + IPTU,57 m² · 2 quartos · 1 vaga,Apartamento,"Rua Padre Pedro Pinto, Venda Nova · Belo Horizonte"
329,R$ 240.000,R$ 250 Condo. + IPTU,25 m² · 1 quarto · 1 vaga,Studio e kitnet,"Rua Mário de Andrade Gomes, Sagrada Família · Belo Horizonte"
330,R$ 350.000,R$ 118 Condo. + IPTU,110 m² · 2 quartos · 1 vaga,Casa em condomínio,"Rua Camões, Copacabana · Belo Horizonte"
331,R$ 510.000,R$ 414 Condo. + IPTU,132 m² · 3 quartos · 1 vaga,Apartamento,"Rua João Gualberto Filho, Sagrada Família · Belo Horizonte"
332,R$ 285.000,R$ 496 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Conde de Monte Cristo, Ipiranga · Belo Horizonte"
333,R$ 260.000,R$ 250 Condo. + IPTU,67 m² · 2 quartos · 2 vagas,Apartamento,"Rua Manoel Aramuni, Conjunto Califórnia · Belo Horizonte"
334,R$ 750.000,R$ 851 Condo. + IPTU,120 m² · 3 quartos · 2 vagas,Apartamento,"Rua Deputado Álvaro Sáles, Santo Antônio · Belo Horizonte"
335,R$ 1.100.000,R$ 1.525 Condo. + IPTU,117 m² · 4 quartos · 3 vagas,Apartamento,"Rua Professora Bartira Mourão, Buritis · Belo Horizonte"
336,R$ 330.000,R$ 403 Condo. + IPTU,82 m² · 3 quartos · 1 vaga,Apartamento,"Rua San Salvador, Estrela Dalva · Belo Horizonte"
337,R$ 250.000,R$ 0 Condo. + IPTU,75 m² · 2 quartos · 1 vaga,Casa,"Rua Ivartt Maria Mota, São João Batista · Belo Horizonte"
